A,B,C,D
1.0,20.0,-17.739999998807907,382.05000000029804
2.0,32.0,-15.640000004768371,598.0599999982119
3.0,35.0,-13.630000014305114,652.3200000035763
4.0,36.0,-11.739999998807907,670.0700000035763
5.0,20.0,-9.749999989271164,382.32999999403955
6.0,3.0,-7.960000001341104,76.23
7.0,13.0,-5.949999999701976,256.089999999404
8.0,31.0,-3.6899999868869777,580.1200000005961
9.0,39.0,-2.02,724.310000013113
10.0,24.0,0.16000000715255738,454.1300000059605
11.0,37.0,2.0899999994039535,688.1699999976158
12.0,18.0,3.999999999552965,346.1999999988079
13.0,1.0,6.130000005960465,40.08000000149011
14.0,33.0,8.350000004768372,616.310000013113
15.0,13.0,10.089999999403954,256.089999999404
16.0,23.0,12.199999998807908,436.1300000059605
17.0,31.0,14.07000000357628,580.0599999982119
18.0,20.0,16.26999999165535,381.98
19.0,15.0,17.98,292.15000000178816
20.0,1.0,20.329999994039536,40.29999999284744
21.0,20.0,22.120000000596047,382.0399999986589
22.0,15.0,24.05999999821186,292.3200000035763
23.0,39.0,26.219999994635582,724.1699999976158
24.0,22.0,28.369999985694886,418.23
25.0,39.0,30.260000001192093,724.310000013113
26.0,38.0,32.08000000149012,706.2900000023842
27.0,39.0,34.36999998569488,724.1500000017882
28.0,13.0,36.36999998569488,256.13999999642374
29.0,39.0,38.25000001072883,724.019999999106
30.0,3.0,40.34000001430511,76.32999999403954
31.0,1.0,42.32999999403953,39.98999999977648
32.0,12.0,44.13999999642372,238.21000000417231
33.0,31.0,46.359999995231625,580.1500000017882
34.0,34.0,48.36999998569488,634.1500000017882
35.0,14.0,50.009999999329445,274.01999999910595
36.0,17.0,52.08999999940395,328.1999999988079
37.0,20.0,54.05999999821186,382.25000001072885
38.0,38.0,56.280000011920926,706.2999999928475
39.0,37.0,58.26999999165535,688.0399999986589
40.0,3.0,60.359999995231625,75.98999999977649
41.0,20.0,62.070000003576276,382.2900000023842
42.0,29.0,64.0800000014901,544.1899999934435
43.0,23.0,66.31000001311303,436.34000001430513
44.0,13.0,68.01999999910593,256.05000000029804
45.0,33.0,70.01999999910593,616.2500000107289
46.0,4.0,72.21999999463559,94.10999999523163
47.0,39.0,74.35999999523163,724.1200000005961
48.0,38.0,76.0399999986589,706.1399999964237
49.0,19.0,78.21000000417233,364.1999999988079
50.0,23.0,80.35000000476838,436.0300000007451
51.0,39.0,82.21999999463559,724.3500000047684
52.0,8.0,83.99999999955297,165.98999999977647
53.0,13.0,86.35000000476838,256.1300000059605
54.0,32.0,88.08000000149012,598.2999999928475
55.0,29.0,90.0999999973178,544.050000000298
56.0,27.0,91.98999999977649,508.0399999986589
57.0,31.0,94.16999999761582,580.0800000014901
58.0,35.0,96.34000001430512,652.1899999934435
59.0,35.0,98.23,652.2699999916554
60.0,5.0,100.36999998569489,112.16999999761582
61.0,33.0,102.28000001192093,616.089999999404
62.0,11.0,104.00999999932945,220.00999999932944
63.0,21.0,106.01999999910593,400.0399999986589
64.0,8.0,108.00999999932945,166.310000013113
65.0,31.0,110.35999999523163,580.1200000005961
66.0,28.0,111.99999999955297,526.310000013113
67.0,22.0,114.13000000596047,418.3500000047684
68.0,32.0,116.35999999523163,598.23
69.0,1.0,118.07000000357628,40.29000000238418
70.0,13.0,120.35999999523163,256.28000001192095
71.0,27.0,122.1899999934435,508.1999999988079
72.0,8.0,124.29999999284745,166.29000000238418
73.0,26.0,126.28000001192093,490.26999999165537
74.0,9.0,128.29999999284746,184.32000000357627
75.0,16.0,130.35999999523162,310.28000001192095
76.0,24.0,132.35000000476836,454.10999999523165
77.0,16.0,134.18000000298022,310.2600000011921
78.0,2.0,136.28000001192092,58.29000000238418
79.0,17.0,138.00999999932944,328.31000001311304
80.0,5.0,140.29000000238418,112.07000000357628
81.0,28.0,142.21000000417231,526.3599999952316
82.0,1.0,144.36999998569488,40.29999999284744
83.0,32.0,146.03999999865889,598.3599999952316
84.0,30.0,148.18000000298022,562.1899999934435
85.0,0.0,150.03999999865889,22.080000001490117
86.0,29.0,152.08999999940394,544.1800000029803
87.0,14.0,154.05999999821185,274.10999999523165
88.0,30.0,156.36999998569488,562.2500000107289
89.0,6.0,158.09999999731778,130.13000000596045
90.0,6.0,160.310000013113,130.13000000596045
91.0,12.0,162.29999999284743,237.98999999977647
92.0,3.0,164.03000000074505,76.32000000357628
93.0,8.0,166.23999999046325,166.15000000178813
94.0,22.0,168.08999999940394,418.35999999523165
95.0,32.0,170.09999999731778,598.23
96.0,2.0,172.18999999344348,58.29999999284744
97.0,10.0,174.10999999523162,202.32999999403953
98.0,12.0,176.3400000143051,238.10999999523162
99.0,37.0,178.03999999865889,687.9899999997765
100.0,12.0,180.23999999046325,238.18999999344348
